filename,quality_score,original_chars,corrected_chars
00000000_[10분 강의]제202회(씨 뿌리는 사람의 비유마르코복음 4장 1~9절).txt,90,3765,4099
00000000_[10분 강의]제203회(비유로 말씀하시는 이유마르코복음 4장 10~12절).txt,100,2967,3272
00000000_[10분 강의]제204회(씨 뿌리는 비유의 설명 마르코복음 4장 13~20절).txt,90,2819,3058
00000000_[10분 강의]제205회(등불의 비유 마르코복음 4장 21~25절).txt,90,3069,3326
00000000_[10분 강의]제206회 (저절로 자라는 씨앗의 비유마르코복음 4장 26절~29절).txt,90,3738,3794
00000000_[10분 강의]제207회 성경묵상의 중요성.txt,90,2063,2303
00000000_[10분 강의]제208회 내 마음의 소리가 들리세요.txt,90,1553,1827
00000000_[10분 강의]제209회 기도하다 졸았어요.txt,100,849,1086
00000000_[10분 강의]제210회(고요하고 잠잠해져라 마르코 4장 37절~40절).txt,90,2838,3131
00000000_[10분 강의]제211회 내안의 나와 마주 보세요.txt,90,2516,2854
00000000_[10분 강의]제212회 마음의 균형이 맞아야 건강해요.txt,90,2146,2340
00000000_[10분 강의]제213회 장점과 단점.txt,100,1435,1681
00000000_[10분 강의]제214회 사는게 힘들어요.txt,90,2266,2610
00000000_[10분 강의]제215회 사는게 힘들어요 II.txt,90,1871,2157
00000000_[10분 강의]제216회 변덕.txt,100,1927,2128
00000000_[10분 강의]제217회 결심.txt,90,996,1226
00000000_[10분 강의]제218회 내 마음속 아이와 대화.txt,90,1494,1727
00000000_[10분 강의]제219회 목표.txt,100,1761,2021
00000000_[10분 강의]제220회 행복의 조건.txt,90,1466,1739
00000000_[10분 강의]제221회 실패를 두려워 마세요.txt,100,923,1136
00000000_[10분 강의]제222회 가장 건강한 사람이란.txt,100,1114,1319
00000000_[10분 강의]제223회 짜증이 나는 이유.txt,90,1554,1799
00000000_[10분 강의]제224회 숨막히는 가톨릭 엄숙주의는 영성 아닌 콤플렉스.txt,70,10549,10973
00000000_[10분 강의]제225회 남편과 이혼하고 싶은데 가톨릭신자라 못해요.txt,60,3542,3815
00000000_[10분 강의]제226회 정신병을 치유하는 방법.txt,60,3323,3499
00000000_[10분 강의]제228회 성공은 성적순이 아니예요.txt,100,1153,1405
00000000_[10분 강의]제229회 내마음의 치료제.txt,90,1800,2032
00000000_[10분 강의]제230회 나도 모르는 진짜 나를 찾아서.txt,90,1536,1819
00000000_[10분 강의]제231회 진정한 자유는 스스로를 놓아준 순간부터 시작됩니다.txt,90,1861,2066
00000000_[10분 강의]제232회 미얀마를 위하여.txt,90,1625,1804
00000000_[10분 강의]제233회 내 마음은 얼마나 건강할까요.txt,90,2046,2407
00000000_[10분 강의]제234회 시간의 유한성을 망각하지 마세요.txt,90,1919,2237
"00000000_[10분 강의]제235회 여한없는 삶, 내 것 되지 말란 법 있나요.txt",90,1681,1891
00000000_[10분 강의]제236회 타인은 나의 거울.txt,90,1426,1662
00000000_[10분 강의]제237회 즐거움은 갇힌 문을 여는 열쇠입니다.txt,90,2076,2338
00000000_[10분 강의]제238회  세상살이에 지친 마음은 세상 안에서 해결하세요.txt,90,1567,1814
00000000_[10분 강의]제239회 병이 있는 곳에 약도 있다니까요.txt,90,1563,1833
00000000_[10분 강의]제240회 눈을 낮추면 비로소 보이는 행복 나뭇잎 하나.txt,100,1305,1576
00000000_[10분 강의]제241회 주님도 잠시 멈추셨습니다.txt,100,1463,1626
00000000_[10분 강의]제243회 행복을 다른 곳에서 찾지 마세요.txt,90,1548,1807
00000000_[10분 강의]제244회 새 술은 새 부대에.txt,100,1493,1795
00000000_[10분 강의]제245회 행복은 내 안에 있습니다.txt,100,1530,1750
00000000_[10분 강의]제246회 혼자 가는 길 끝없는 배움의 길.txt,100,2203,1967
00000000_[10분 강의]제247회 심리치료와 영성생활.txt,100,1646,1850
00000000_[10분 강의]제248회 내가 나를 홀대하면 몸과 마음이 꼭 복수한다.txt,60,9162,9569
00000000_[10분 강의]제249회 부처님과 프란치스코 성인이 진짜 영적 단계에 올라갈 수 있었던 이유.txt,70,6409,6749
00000000_[10분 강의]제250회 어제보다 나은 오늘을 위해.txt,100,1353,1621
00000000_[10분 강의]제251회 종교 사기꾼을 구별해 내는 방법.txt,60,13342,13323
00000000_[10분 강의]제252회 모든일에는 의미가 있다.txt,80,1829,2046
00000000_[10분 강의]제253회 꼰대인가 어르신인가.txt,100,1100,1342
00000000_[10분 강의]제254회 가난에 대하여.txt,80,1516,1599
00000000_[10분 강의]제255회 유혹이란 무엇인가.txt,100,1946,2164
00000000_[10분 강의]제256회 행복과 불행은 등을 맞대고 있습니다.txt,90,1974,2168
00000000_[10분 강의]제257회 건강한 욕구는 나를 성장시킵니다.txt,100,1549,1529
00000000_[10분 강의]제258회 지나치게 잡아 당기면 끊어집니다.txt,100,1144,1398
00000000_[10분 강의]제259회 이제부터가 시작인 걸요.txt,100,1413,1341
00000000_[10분 강의]제260회 섬과 섬은 결국 하나의 땅 위에 서 있잖아요.txt,100,1670,1962
00000000_[10분 강의]제261회 부딪침이 있어야 아름다운 돌멩이가 되죠.txt,90,1516,1826
00000000_[10분 강의]제262회 없어 봐야 귀한 줄 알지요 송복례 새벽 달.txt,100,1368,1648
00000000_[10분 강의]제263회 어른의 정석.txt,100,1140,1298
00000000_[10분 강의]제264회 적당한 비난은 약이 됩니다.txt,90,1863,2109
00000000_[10분 강의]제265회 다 안다는 자만은 무지의 다른 이름이예요.txt,100,1273,1438
00000000_[10분 강의]제266회 성경말씀에 따라 사는 삶.txt,90,1729,2001
00000000_[10분 강의]제267회 지나친 근심은 하지 마세요.txt,100,1193,1423
00000000_[10분 강의]제268회 제자의 발을 씻어 주신 예수님.txt,100,1496,1742
00000000_[10분 강의]제269회 정신적 거듭남에 대해서.txt,100,1472,1653
00000000_[10분 강의]제270회 믿음과 의심.txt,90,1685,1859
00000000_[10분 강의]제271회 받아들임.txt,100,1759,1888
00000000_[10분 강의]제272회 재수없는 생각.txt,90,1483,1709
00000000_[10분 강의]제273회 모난 마음.txt,100,1146,1387
00000000_[10분 강의]제274회 인생목표.txt,100,1274,1486
00000000_[10분 강의]제275회 나를 위한 용서.txt,100,1563,1811
00000000_[10분 강의]제276회 뒷심.txt,100,1498,1804
00000000_[10분 강의]제277회 탐욕이란.txt,90,1621,1828
00000000_[220212]통합 행복에 대해서 2.txt,80,26676,16447
00000000_[220312]제1부_행복에 대해서 3.txt,60,15324,5504
00000000_[220312]제2부_행복에 대해서 3.txt,60,14767,15260
00000000_[220423]제1부_돈에 대해서.txt,60,15338,15765
00000000_[220423]제2부_돈에 대해서.txt,55,11192,11502
00000000_[220514]제1부_돈에 대해서 두번째 이야기.txt,60,15403,14997
00000000_[220514]제2부_돈에 대해서 두번째 이야기.txt,70,12702,12602
00000000_[220611]제1부_병적인 신앙생활.txt,60,13676,13875
00000000_[220611]제2부_병적인 신앙생활.txt,80,13696,13997
00000000_[220716]제1부_병적인 신앙생활 II.txt,60,15771,14984
00000000_[220716]제2부_병적인 신앙생활 II.txt,80,12819,13072
00000000_[220820]호감에 대해서(오디오).txt,70,26671,26945
00000000_[220917]병적인 신앙(통합본).txt,70,27714,28714
00000000_[220917]제1부_병적인 신앙.txt,70,14242,14860
00000000_[220917]제2부_병적인 신앙.txt,80,14563,14998
00000000_[221015]제1부_순교자의 영성이란.txt,60,11355,11705
00000000_[221015]제2부_우리가 모르는 마음.txt,60,14842,15612
00000000_[221112]제1부_영성심리에 대해.txt,60,17155,17845
00000000_[221112]제2부_일상적인 심리현상.txt,60,12792,13532
00000000_[230217]제1부_마태오복음의 영성적 관점.txt,60,7281,7591
00000000_[230217]제2부_게슈탈트 치료법과 신앙.txt,60,11005,11487
00000000_[230217]제3부_마음의 상식.txt,70,7669,8057
00000000_[230311]제1부_마태오복음의 심리학적 분석.txt,60,13753,14358
00000000_[230311]제2부_게슈탈트 치료법과 신앙.txt,70,12098,12787
00000000_[230415]제1부_게슈탈트 심리치료.txt,60,19269,20250
00000000_[230415]제2부_이상심리학에 대해.txt,70,8758,9041
00000000_[230513]제1부_게슈탈트 요법에서의 성격.txt,70,12335,12912
00000000_[230513]제2부_게슈탈트 요법에서의 성격.txt,70,15418,16037
00000000_[230617] 정신적 장애에 대하여....txt,80,23243,24154
00000000_[230916] 금쪽이가 갖고 있는 성격적 문제.txt,70,25573,26714
"00000000_[231014] 1부. 방어기제, 융합에 대해서.txt",60,16308,16931
00000000_[231014] 2부. 가정폭력에 대해서.txt,60,10148,10776
"00000000_[231125]  방어기제, 투사에 대해서.txt",60,17384,18283
"00000000_[240120]  방어기제, 억압에 대해서.txt",60,28132,28906
"00000000_[240217]  방어기제, 반전에 대해서.txt",70,23418,24326
"00000000_[240316]  방어기제, 편향에 대해서.txt",70,27409,28698
00000000_[240413]  파면된 신부와 사이비 종교.txt,70,26361,27252
"00000000_[240511]  사이비 종교, 두 번째 시간.txt",70,24008,24949
"00000000_[240608] 방어기제, 고착에 대해서.txt",70,26329,26322
00000000_[240720] 다양한 방어기제에 대해서.txt,70,28214,27814
00000000_[241012] 미움에 대해서.txt,60,20102,21182
00000000_[241109] 홍성남신부님 인생이야기.txt,60,19774,19908
00000000_[260117]뇌와 마음에 대한 이야기.txt,85,24863,24538
00000000_[260221] 자아의 성장과정.txt,50,28798,28995
00000000_[Catholic Book]내 마음을 이해하는 법.txt,80,3756,3625
00000000_[Catholic Book]자존감 높이는건 생각보다 쉽습니다.txt,60,3946,3983
00000000_[Catholic Book]혼자서 마음의 병 치유하는 방법.txt,70,3934,3692
00000000_[Catholic Book]홍성남신부님이 직접 겪은 마음의 병.txt,60,2928,2726
00000000_[cpbc 뉴스] 가톨릭영성심리상담소 10주년 방송 영상.txt,90,1299,1543
00000000_[cpbc]홍성남 신부의 사주풀이_1화.txt,60,5971,6367
00000000_[cpbc]홍성남 신부의 사주풀이_2화 하느님은 왜 인간의 고통을 보고만 계시는가.txt,60,6287,6696
00000000_[cpbc뉴스]독재자들의 심리상태는 (2022년 04월 06일).txt,80,4809,4361
00000000_[cpbc특강]건강한 신앙인 되기 1부.txt,70,16449,15073
00000000_[cpbc특강]건강한 신앙인 되기 2부.txt,60,17425,17754
00000000_[cpbc특강]건강한 신앙인 되기 3부.txt,90,16040,11516
00000000_[cpbc특강]건강한 신앙인 되기 4부.txt,60,15996,15752
00000000_[cpbc특강]건강한 신앙인 되기 5부.txt,60,16429,15821
00000000_[cpbc특강]건강한 신앙인 되기 6부.txt,80,16956,16717
00000000_[メンモーニング相談所] 精神的に苦しい娘.txt,85,8411,6819
00000000_[가정선교회]성가정 영성미사 (11월 2일).txt,60,14279,14792
00000000_[가정선교회]성가정 영성미사 (9월 7일).txt,60,21080,10612
00000000_[가정선교회]성모성심미사 강론(2020년 1월 4일).txt,90,19059,15381
00000000_[가정선교회]성모성심미사 강론(5월4일).txt,60,13248,13633
00000000_[가정선교회]성모신심 미사 (8월 1일).txt,80,14107,14708
00000000_[가톨릭 청춘어게인] 코로나19를 잘 극복하는 방법12월30일.txt,90,8121,8433
00000000_[가톨릭 청춘어게인] 홍성남 신부님과 함께 웃어봐요 1월 5일 방송.txt,70,8914,9240
00000000_[가톨릭 청춘어게인] 홍성남 신부님의 은퇴위기 1월 12일 방송.txt,80,8205,8639
00000000_[가톨릭신문]정신적 바이러스에 대처하는 신앙인의 자세.txt,80,12779,12736
"00000000_[맹모닝 상담소]  1일 1술 하는 남편, 와이프의 선택은.txt",80,4719,5082
00000000_[맹모닝 상담소]  40대 여성의 소외감 극복방법.txt,80,7793,8154
00000000_[맹모닝 상담소]  가난한 이들과 함께 하는 민들레 국수집(貧しい人々と共にする麺屋).txt,65,17868,14459
00000000_[맹모닝 상담소]  가족이 아닌 무수리의 삶을 살아온 딸.txt,80,7714,8194
"00000000_[맹모닝 상담소]  고해성사에 대한 불편한 마음(부제;모고해,모령성체에 대한 이야기).txt",80,7971,8444
00000000_[맹모닝 상담소]  교회  봉사자들의 불편한 마음.txt,80,9061,9320
00000000_[맹모닝 상담소]  나랑 다른 생각... 갈라치기의 위험성.txt,80,8005,8316
00000000_[맹모닝 상담소]  내편없는 외톨이의 직장생활.txt,80,7460,7808
00000000_[맹모닝 상담소]  듣기싫은 그 말.... 애는 잘 있어.txt,80,7177,7615
"00000000_[맹모닝 상담소]  딸과의 관계, 회복하고 싶어요.txt",80,6005,6294
00000000_[맹모닝 상담소]  맞벌이 부부의 갈등.txt,80,6449,6898
00000000_[맹모닝 상담소]  몸이 아프다는게 유혹인가요.txt,90,6992,7461
00000000_[맹모닝 상담소]  무신론자의 신앙생활.txt,80,7713,8003
00000000_[맹모닝 상담소]  미사 반주자의 고민.txt,80,7882,8206
00000000_[맹모닝 상담소]  바람직한 노년의 삶이란.txt,80,7114,7537
00000000_[맹모닝 상담소]  복음적인 삶이란 무엇인가요.txt,90,9915,10560
"00000000_[맹모닝 상담소]  부담되는 교무금, 십일조.txt",80,7032,7342
00000000_[맹모닝 상담소]  부부싸움 후 굳이 함께 미사참례를 해야 하나요.txt,80,5754,6125
00000000_[맹모닝 상담소]  비혼주의 딸에 대한 엄마의 마음.txt,80,8521,8689
00000000_[맹모닝 상담소]  성경 외엔 다 헛된 것이다.txt,80,8264,7866
"00000000_[맹모닝 상담소]  성당의 높은 벽, 지친 예비신자.txt",80,7116,7226
00000000_[맹모닝 상담소]  슬기로운 본당 생활에서 거짓말을.txt,80,5958,6301
00000000_[맹모닝 상담소]  시어머니와의 불편한 의사소통.txt,90,8187,8691
00000000_[맹모닝 상담소]  신부님 강론이 귀에 안 들어와요.txt,80,6454,6327
00000000_[맹모닝 상담소]  아~ 멘토인가 진상인가.txt,80,6123,6556
00000000_[맹모닝 상담소]  애지중지 키운 딸 독립이 웬 말이냐.txt,80,5687,6048
00000000_[맹모닝 상담소]  어려운 인간관계를 끊어 참아.txt,80,6969,7421
"00000000_[맹모닝 상담소]  영성체, 상처 받은 신자.txt",80,8853,9291
00000000_[맹모닝 상담소]  예비 시어머니와의 갈등.txt,80,6877,7368
00000000_[맹모닝 상담소]  이기적인 남편과 어떻게 살아야 하나요.txt,80,5895,6333
00000000_[맹모닝 상담소]  인간관계에서의 스트레스.txt,80,7718,8164
00000000_[맹모닝 상담소]  인격적 모욕에 대한 와이프의 선택은.txt,80,7578,8256
00000000_[맹모닝 상담소]  자모회 회원들의 과도한 언행.txt,90,6557,6751
00000000_[맹모닝 상담소]  종갓집 며느리의 속마음.txt,80,7002,7288
00000000_[맹모닝 상담소]  종교의 탈을 쓴 사기꾼(宗教の仮面をかぶった詐欺師).txt,70,9486,8324
00000000_[맹모닝 상담소]  착한아이 콤플렉스에 걸린 엄마&와이프.txt,80,8618,9159
00000000_[맹모닝 상담소]  천주교 신자가 왜 그래.txt,80,7970,8226
00000000_[맹모닝 상담소]  친정 부모님과의 갈등.txt,80,6822,7180
00000000_[맹모닝 상담소]  행복한 노년의 마음이란.txt,80,6909,7350
00000000_[맹모닝 상담소] 20살 연상녀와 결혼한 내 아들.txt,75,11566,9536
00000000_[맹모닝 상담소] 2가지 에피소드 답답하고 불편한 인간관계.txt,85,7834,6752
00000000_[맹모닝 상담소] 3개월 새신자 vs 20년 지역장.txt,70,12401,10305
00000000_[맹모닝 상담소] 가족간병에 지친 보호자의 마음(病気の家族の介護に疲れた人).txt,70,9226,7931
00000000_[맹모닝 상담소] 가족인가 범죄집단인가.txt,85,7934,6534
"00000000_[맹모닝 상담소] 갈 곳 잃은 중년 남성, 이들이 갈 곳은.txt",70,11123,9326
00000000_[맹모닝 상담소] 건강한 화풀이법().txt,75,8941,8435
00000000_[맹모닝 상담소] 결혼을 앞두고 개종한다는 아들.txt,80,6209,6641
00000000_[맹모닝 상담소] 고백성사의 맛.txt,75,8013,8136
"00000000_[맹모닝 상담소] 고집불통, 우리 주임신부님.txt",85,9159,7766
00000000_[맹모닝 상담소] 고해성사 중 상담에 대한 답을 드려야 할까요.txt,80,6003,6023
00000000_[맹모닝 상담소] 공동체에서 상처받은 마음 지키는 법(共同体で傷ついた心を守る方法).txt,80,13130,11288
"00000000_[맹모닝 상담소] 과연, 주님의 뜻은 무엇인가(果たして、神様の意味は何でしょうか).txt",75,8750,7226
00000000_[맹모닝 상담소] 교중미사 지휘자에 대한 일방적 정리해고.txt,80,9399,10028
00000000_[맹모닝 상담소] 군종교구 교구장님 인터뷰.txt,75,8054,8156
"00000000_[맹모닝 상담소] 그냥, 잘하시는거 하면 안될까요.txt",80,10549,9417
00000000_[맹모닝 상담소] 극단적 삶을 선택한 아들 그리고 남겨진 엄마.txt,90,5785,5998
00000000_[맹모닝 상담소] 기도했는데 왜 무너질까(祈ったのに、なぜ崩れてしまうのか).txt,70,10341,8775
"00000000_[맹모닝 상담소] 길 위의 사목, 산티아고 순례길의 홍사영 신부님.txt",70,13565,11043
00000000_[맹모닝 상담소] 나는 성인이다! 교만과 겸손의 차이.txt,70,9144,7609
00000000_[맹모닝 상담소] 나와 다르면 다 악마!.txt,70,9299,7775
00000000_[맹모닝 상담소] 동성애 교우의 고민.txt,80,5819,6089
00000000_[맹모닝 상담소] 두 딸의 신앙생활이 고민인 어머니.txt,80,5813,5964
00000000_[맹모닝 상담소] 말 못하고 지나가서 후회하는 심리(言えず後で後悔する心理).txt,80,8386,7013
"00000000_[맹모닝 상담소] 며느리에 대한 사랑, 지혜인가 술책인가.txt",80,5071,5492
00000000_[맹모닝 상담소] 며느리와의 갈등.txt,80,8177,8229
00000000_[맹모닝 상담소] 모녀의 갈등속에 고해신부의 갑질(母娘の対立の中で告解司祭の横暴).txt,80,9768,8342
00000000_[맹모닝 상담소] 모친상 이후 겪고 있는 심리적 불안감.txt,80,4853,5000
00000000_[맹모닝 상담소] 목사님께 안수기도를.txt,80,8229,8441
00000000_[맹모닝 상담소] 미운 사람 용서하기란...txt,80,10575,11129
00000000_[맹모닝 상담소] 바티칸 시노드의 눈물 이태석 신부님 편1.txt,80,13263,13441
00000000_[맹모닝 상담소] 바티칸 시노드의 눈물 이태석 신부님 편2.txt,80,18494,19262
00000000_[맹모닝 상담소] 본당 신부님을 보고서 이성적 마음이 생긴다면.txt,90,5233,5564
00000000_[맹모닝 상담소] 본당 신앙생활 속 갈등.txt,90,5356,5631
00000000_[맹모닝 상담소] 불안한 마음은 신앙의 문제일까.txt,75,5860,4880
"00000000_[맹모닝 상담소] 불편한 본당 신부님, 그리고 본당활동.txt",90,7012,7151
"00000000_[맹모닝 상담소] 불편한 식사자리, 내향형이라...txt",85,7215,7379
00000000_[맹모닝 상담소] 불편한 신앙영상에 불안해진 나의 마음.txt,80,6122,6346
00000000_[맹모닝 상담소] 빙의 오지랖.txt,75,5558,5547
"00000000_[맹모닝 상담소] 사람의 마음, 원형 불변의 법칙!.txt",75,10086,8396
00000000_[맹모닝 상담소] 사람의 출생이 과연 축복일까요.txt,80,6796,6664
"00000000_[맹모닝 상담소] 사순특강, 사순의 진정한 의미(四旬節特講、四旬節の真の意味).txt",75,8160,6982
00000000_[맹모닝 상담소] 사이비 종교에 빠진 아들.txt,75,14823,12513
00000000_[맹모닝 상담소] 새 사제와의 불편한 관계.txt,75,9126,9200
"00000000_[맹모닝 상담소] 생각도 죄, 그리고, 아이들의 신앙생활에 대한 고민.txt",85,9715,9837
00000000_[맹모닝 상담소] 소심함과 열등감에 주눅이 든 나...txt,85,8403,8380
00000000_[맹모닝 상담소] 수녀님께 받은 상처....txt,80,10739,10815
"00000000_[맹모닝 상담소] 시댁엔 천사, 아내엔 폭군, 하지만 참고 있는 아내 (夫の実家には天使、妻には暴君、でも我慢し.txt",85,9259,8175
00000000_[맹모닝 상담소] 식어버린 신앙 생활이 걱정됩니다.txt,80,5052,5030
"00000000_[맹모닝 상담소] 아이들의 신앙, 재미가 먼저일까(子供たちの信仰、面白さが先かな).txt",75,8272,7276
00000000_[맹모닝 상담소] 아픈 나에게 돈 빌려 달라는 친구(痛い私に 金を貸してくれという友人).txt,85,9076,7641
00000000_[맹모닝 상담소] 아픈 아들이 걱정인 자매님의 사연.txt,80,6824,7152
00000000_[맹모닝 상담소] 어려운 경제상황을 어떻게 극복해야 할까요.txt,80,7695,7894
00000000_[맹모닝 상담소] 엄마의 과도한 걱정.txt,75,11962,11836
00000000_[맹모닝 상담소] 우리 보좌 신부님!.txt,75,10632,8887
00000000_[맹모닝 상담소] 유튜브를 통한 건강하고 밝은 신앙생활하기.txt,80,6160,6564
00000000_[맹모닝 상담소] 은혜도  모르는 딸.txt,75,10758,10608
"00000000_[맹모닝 상담소] 인간의 욕구, 과연 마귀의 유혹일까.txt",80,6571,6898
00000000_[맹모닝 상담소] 인생은 선택의 연속이다.txt,75,12938,10957
00000000_[맹모닝 상담소] 자기 자신을 용서하는 방법.txt,85,9287,9230
00000000_[맹모닝 상담소] 장남 컴플렉스에 걸린 남편.txt,70,6333,5268
00000000_[맹모닝 상담소] 정신적으로 힘든 딸 (精神的に苦しい娘).txt,75,8338,6880
"00000000_[맹모닝 상담소] 정치 이야기, 서로 다른 생각.txt",75,10870,8911
00000000_[맹모닝 상담소] 정치에 대한 분노 그리고 적개심.txt,80,6815,7049
00000000_[맹모닝 상담소] 종교와 영성심리.txt,80,7832,7464
00000000_[맹모닝 상담소] 주임신부님과의 갈등.txt,90,9555,9846
00000000_[맹모닝 상담소] 진정한 친구란.txt,75,8457,8437
"00000000_[맹모닝 상담소] 타인을 바꾸려 하지 말고, 자신에게 집중하라.(他人を変えようとせず、自分に集中しよう).txt",70,9258,7742
00000000_[맹모닝 상담소] 타인의 불행을 보는 시각 & 정치적 갈등.txt,80,6545,6531
00000000_[맹모닝 상담소] 티끌만한 죄도 용서하지 않으시는 하느님.txt,80,4951,5227
00000000_[맹모닝 상담소] 평생 종으로 살 위기 현명한 방법은....txt,80,10273,8667
00000000_[맹모닝 상담소] 폭력과 폭언속에 살아가는 부부.txt,80,9831,8354
00000000_[맹모닝 상담소] 하느님의 뜻 죄책감을 느끼게 만드는 교회 (神様の意思？ 罪悪感を感じさせる教会).txt,80,12249,10246
00000000_[맹모닝 상담소] 하느님이 사채업자(한글자막제공).txt,70,7182,5567
00000000_[맹모닝 상담소] 학사님에 대한 애정 사랑.txt,80,8058,8126
00000000_[맹모닝 상담소] 항상 주눅드는 나.txt,75,11195,8920
00000000_[맹모닝 상담소] 행복한 성가정을 준비하는 당신....txt,85,5095,5088
"00000000_[맹모닝 상담소] 형제간 갈등의 반복, 그 끝은.txt",75,5829,5902
00000000_[맹모닝 상담소] 화가나면 뭐든 집어 던지는 남편(남의편).txt,90,7274,7454
00000000_[맹모닝 상담소] 힘든 가족관계... 끊어버리고 싶어요.txt,85,8291,8292
00000000_[맹모닝 상담소]깊은 신앙심속에서 망설여지는 봉사활동.txt,80,5948,6120
00000000_[미얀마 특집]미얀마 청년들과의 대화 1편.txt,55,13166,13451
00000000_[미얀마 특집]미얀마를 돕기 위한 다양한 의견 첫번째.txt,80,16200,16543
00000000_[사수영] 제3화 사목자인가 사육자인가.txt,90,3256,3460
00000000_[사수영] 제4화 사이비종교 식별법.txt,80,2670,2935
00000000_[사수영]제10화 심한 자기 도취자들.txt,80,2028,2259
00000000_[사수영]제5화 현대판 마귀론.txt,100,1889,2127
00000000_[사수영]제6화 꼰대.txt,80,2650,2834
00000000_[사수영]제7화 악플러의 심리.txt,90,2281,2530
00000000_[사수영]제8화 용서하기.txt,90,2503,2736
00000000_[사수영]제9화 감정에 대해서.txt,90,2496,2726
00000000_[사순절 특집]사순 우울감을 극복하는 방법.txt,80,4337,4197
00000000_[사제와 수도자를 위한 영성심리 강의] 제1회 투사에 대하여.txt,85,6716,6845
00000000_[사제와 수도자를 위한 영성심리] 제2화 인간은 이기적인 존재인가 이타적인 존재인가.txt,90,2752,2942
00000000_[새로운 강의 소개]성직자와 수도자를 위한 영성심리 강의.txt,80,577,776
00000000_[슬기로운 신앙생활]제 1화 빛과소금.txt,90,1305,1581
00000000_[슬기로운 신앙생활]제2화 고해성사와 자기성찰.txt,90,1999,2299
00000000_[슬기로운 신앙생활]춘천교구 동명동 성당 편.txt,60,15131,15930
00000000_[요한 묵상집]제10화 요한복음 2장 13절~17절.txt,70,2054,2340
00000000_[요한 묵상집]제11화 요한복음 2장 18절~22절.txt,70,2060,2332
00000000_[요한 묵상집]제12화 요한복음 2장 23절~25절.txt,60,1797,2035
00000000_[요한 묵상집]제13화 요한복음 3장 1절 ~ 2절.txt,70,1791,2059
00000000_[요한 묵상집]제14화 요한복음 3장 3절 ~ 8절.txt,70,1525,1787
00000000_[요한 묵상집]제15화 요한복음 3장 9절 ~ 16절.txt,70,1553,1824
00000000_[요한 묵상집]제16화 요한복음 3장 17절 ~ 18절.txt,70,1369,1632
00000000_[요한 묵상집]제17화 요한복음 3장 19절~21절.txt,70,1255,1490
00000000_[요한 묵상집]제18화 요한복음 3장 22절 ~ 30절.txt,60,2057,2358
00000000_[요한 묵상집]제19화 요한복음 3장 31절 ~ 36절.txt,70,1824,2098
00000000_[요한 묵상집]제1화 요한복음 1장 1절 ~ 5절.txt,70,1472,1717
00000000_[요한 묵상집]제20화 요한복음 4장 1절  ~ 10절.txt,60,2113,2404
00000000_[요한 묵상집]제21화 요한복음 4장 11절~15절.txt,70,1950,2213
00000000_[요한 묵상집]제22화 요한복음 4장 16절~22절.txt,60,1927,2224
00000000_[요한 묵상집]제23화 요한복음 4장 23절~30절.txt,70,1674,1945
00000000_[요한 묵상집]제24화 요한복음 4장 31절 ~ 33절.txt,70,1858,2154
00000000_[요한 묵상집]제25화 요한복음 4장 34절 ~ 36절.txt,70,1883,2170
00000000_[요한 묵상집]제26화 요한복음 4장 37절 ~ 38절.txt,70,1846,2138
00000000_[요한 묵상집]제27화 요한복음 4장 39절~42절.txt,60,2168,2431
00000000_[요한 묵상집]제28화 요한복음 4장 43절 ~ 45절.txt,70,1956,2233
00000000_[요한 묵상집]제29화 요한복음 4장 46절 ~ 54절.txt,60,2118,2412
00000000_[요한 묵상집]제2화 요한복음 1장 6절 ~ 10절.txt,70,1487,1745
