filename,quality_score,original_chars,corrected_chars
00000000_[요한 묵상집]제30화 요한복음 5장 1절 ~ 5절.txt,60,2056,2322
00000000_[요한 묵상집]제31화 요한복음 5장 6절 ~ 9절.txt,60,2192,2500
00000000_[요한 묵상집]제32화 요한복음 5장 10절 ~ 18절.txt,70,2253,2534
00000000_[요한 묵상집]제33화 요한복음 5장 19절 ~ 22절.txt,70,2098,2354
00000000_[요한 묵상집]제34화 요한복음 5장 23절 ~ 27절.txt,60,2419,2733
00000000_[요한 묵상집]제35화 요한복음 5장  28절 ~ 30절.txt,60,2080,2360
00000000_[요한 묵상집]제36화 요한복음 5장  31절 ~ 38절.txt,70,1578,1848
00000000_[요한 묵상집]제37화 요한복음 5장  39절 ~ 40절.txt,70,1874,2166
00000000_[요한 묵상집]제38화 요한복음 5장  41절 ~ 44절.txt,60,1877,2110
00000000_[요한 묵상집]제39화 요한복음 5장  45절~47절.txt,60,1951,2226
00000000_[요한 묵상집]제3화 요한복음 1장 10절 ~ 28절.txt,70,1878,2184
00000000_[요한 묵상집]제40화 요한복음 6장 1절~11절.txt,60,2173,2517
00000000_[요한 묵상집]제41화 요한복음 6장 12절~15절.txt,70,1896,2145
00000000_[요한 묵상집]제42화 요한복음 6장 16절~21절.txt,70,1776,2047
00000000_[요한 묵상집]제43화 요한복음 6장 22절~27절.txt,70,1918,2230
00000000_[요한 묵상집]제44화 요한복음 6장 28절~29절.txt,70,1815,2070
00000000_[요한 묵상집]제45화 요한복음 6장 30절~35절.txt,60,2264,2562
00000000_[요한 묵상집]제46화 요한복음 6장 36절~40절.txt,70,2069,2343
00000000_[요한 묵상집]제47화 요한복음 6장 41절~46절.txt,70,1938,2220
00000000_[요한 묵상집]제48화 요한복음 6장 47절~51절.txt,60,1884,2151
00000000_[요한 묵상집]제49화 요한복음 6장 52절~59절.txt,60,2041,2326
00000000_[요한 묵상집]제4화 요한복음 1장 29절~34절.txt,60,2058,2349
00000000_[요한 묵상집]제50화 요한복음 6장  60절~63절.txt,70,1964,2255
00000000_[요한 묵상집]제51화 요한복음 6장  64절~69절.txt,60,20189,21181
00000000_[요한 묵상집]제52화 요한복음 6장 70절~71절.txt,70,1730,2008
00000000_[요한 묵상집]제53화 요한복음 7장 1절~9절.txt,60,1947,2225
00000000_[요한 묵상집]제54화 요한복음 7장 10절~13절.txt,70,1939,2228
00000000_[요한 묵상집]제55화 요한복음 7장 14절~17절.txt,60,2167,2471
00000000_[요한 묵상집]제56화 요한복음 7장 18절.txt,70,1647,1910
00000000_[요한 묵상집]제57화 요한복음 7장 19절~24절.txt,70,1977,2258
00000000_[요한 묵상집]제58화 요한복음 7장 25절~31절.txt,60,1850,2135
00000000_[요한 묵상집]제59화 요한복음 7장 32절~36절.txt,70,2025,2295
00000000_[요한 묵상집]제5화 요한복음 1장 35절 ~ 39절.txt,70,2228,2522
00000000_[요한 묵상집]제60화 요한복음 7장 37절~39절.txt,70,1788,2066
00000000_[요한 묵상집]제61화 요한복음 7장 40절~44절.txt,70,1863,2124
00000000_[요한 묵상집]제62화 요한복음 7장 45절~52절.txt,70,1808,2068
00000000_[요한 묵상집]제63화 요한복음 8장 1절~11절.txt,60,2562,2927
00000000_[요한 묵상집]제64화 요한복음 8장 12절~20절.txt,60,2559,2914
00000000_[요한 묵상집]제65화 요한복음 8장 21절~24절.txt,60,1736,2014
00000000_[요한 묵상집]제66화 요한복음 8장 25절~30절.txt,70,2155,2441
00000000_[요한 묵상집]제67화 요한복음 8장 31절~35절.txt,60,2442,2735
00000000_[요한 묵상집]제68화 요한복음 8장  37절~43절.txt,60,2315,2603
00000000_[요한 묵상집]제69화 요한복음 8장 44절~47절.txt,70,1962,2227
00000000_[요한 묵상집]제6화 요한복음 1장 40절~42절.txt,70,1691,1965
00000000_[요한 묵상집]제70화 요한복음 8장 48절~51절.txt,70,1983,2252
00000000_[요한 묵상집]제71화 요한복음 8장 52절~59절.txt,70,2162,2463
00000000_[요한 묵상집]제72화 요한복음 9장 1절~5절.txt,60,2227,2512
00000000_[요한 묵상집]제73화 요한복음 9장 6절~12절.txt,60,2509,2835
00000000_[요한 묵상집]제74화 요한복음 9장 13절~23절.txt,60,2182,2461
00000000_[요한 묵상집]제75화 요한복음 9장 24절~34절.txt,70,2213,2556
00000000_[요한 묵상집]제76화 요한복음 9장 35절~41절.txt,60,2216,2505
00000000_[요한 묵상집]제77화 요한복음 10장 1절~6절.txt,60,2569,2851
00000000_[요한 묵상집]제78화 요한복음 10장 7절~13절.txt,60,3269,3631
00000000_[요한 묵상집]제79화 요한복음 10장 14절~21절.txt,60,1848,2163
00000000_[요한 묵상집]제7화 요한복음 1장 43절 ~ 51절.txt,70,2239,2547
00000000_[요한 묵상집]제80화 요한복음 10장 22절~31절.txt,70,1936,2227
00000000_[요한 묵상집]제8화 요한복음 2장 1절 ~ 5절.txt,70,1622,1911
00000000_[요한 묵상집]제9화 요한복음 2장 6절~12절.txt,70,1363,1631
00000000_[이태석신부님]부활의 구수환 감독과의 대화.txt,80,21718,22170
00000000_[이태석신부님]우리가 몰랐던 이태석재단 이야기.txt,60,3839,4035
00000000_[지역특강_서원동 성당]마음의 힘을 키우는 방법_수정본.txt,60,27839,28605
00000000_[창세기묵상집]제100화 창세기 32장 23절 ~ 33절 전사의식.txt,60,2967,3245
00000000_[창세기묵상집]제101화 창세기 33장 1절 ~ 11절 미련한 사람영리한 사람.txt,60,2130,2372
00000000_[창세기묵상집]제102화 창세기 33장 12절 ~ 30절 야곱의 독립.txt,70,1959,2183
00000000_[창세기묵상집]제103화 창세기 34장 1절 ~ 31절 정의를 가장한 폭력.txt,60,2823,3079
00000000_[창세기묵상집]제104화 창세기 35장 1절 ~ 15절 마음의 힘.txt,60,1876,2138
00000000_[창세기묵상집]제105화 창세기 35장 16절 ~ 20절 라헬의 죽음.txt,60,2340,2586
00000000_[창세기묵상집]제106화 창세기 35장 21절 ~ 26절 이스라엘의 문제아.txt,70,1977,2220
00000000_[창세기묵상집]제107화 창세기 35장 27절 ~ 29절 이사악의 죽음.txt,60,2607,2913
00000000_[창세기묵상집]제108화 창세기 36장 1절 ~ 8절 그림자 이야기 1.txt,70,2607,2930
00000000_[창세기묵상집]제109화 창세기 36장 9절 ~ 14절 그림자 이야기 2.txt,70,2583,2689
00000000_[창세기묵상집]제10화 2장 1절 ~ 4절 쉼의 의미.txt,70,1684,1937
00000000_[창세기묵상집]제110화 창세기 36장 15절 ~ 19절 그림자 이야기3.txt,60,2349,2515
00000000_[창세기묵상집]제111화 창세기 36장 20절 ~ 30절 그림자 이야기4.txt,70,2253,2503
00000000_[창세기묵상집]제112화 창세기 36장 31절 ~ 39절 실패.txt,70,1746,1988
00000000_[창세기묵상집]제113화 창세기 36장 40절 ~ 43절 에돔의 조상 에사오의 삶.txt,60,3037,3259
00000000_[창세기묵상집]제114화 창세기 37장 1절 ~ 4절 심리적 균형.txt,70,1653,1843
00000000_[창세기묵상집]제115화 창세기 37장 5절 ~ 11절 재수없는 사람.txt,60,1922,2158
00000000_[창세기묵상집]제116화 창세기 37장 12절 ~ 36절 팔자란 무엇인가.txt,60,2365,2526
00000000_[창세기묵상집]제117화 창세기 38장 1절 ~ 30절 개판 족보.txt,60,2532,2723
00000000_[창세기묵상집]제118화 창세기 38장 1절 ~ 6절 요셉의 대변신.txt,60,2643,2885
00000000_[창세기묵상집]제119화 창세기 39장 7절 ~ 20절 요셉의 성숙함.txt,60,2485,2710
00000000_[창세기묵상집]제11화 2장 5절 ~ 7절 흙.txt,70,1798,1982
00000000_[창세기묵상집]제120화 창세기 39장 21절 ~ 23절 감옥의 의미.txt,70,2258,2514
00000000_[창세기묵상집]제121화 창세기 40장 1절 ~ 36절 두 번째 인생을 사는 요셉.txt,60,2121,2338
00000000_[창세기묵상집]제122화 창세기 41장 37절 ~ 49절 기도와 인생성공.txt,60,2634,2716
00000000_[창세기묵상집]제123화 창세기 41장 40절 ~ 52절 요셉의 아들들.txt,60,2989,3248
00000000_[창세기묵상집]제124화 창세기 41장 53절 ~ 57절 요셉의 내적 풍요로움.txt,70,2555,2782
00000000_[창세기묵상집]제125화 창세기 42장 1절 ~ 5절 하루란 무엇인가.txt,60,2370,2638
00000000_[창세기묵상집]제126화 창세기 42장 6절 ~ 24절 요셉의 자아.txt,70,1897,2087
00000000_[창세기묵상집]제127화 창세기 42장 25절 ~ 38절 자기 파괴적 삶.txt,70,1793,2049
00000000_[창세기묵상집]제128화 창세기 43장 1절 ~ 34절 앞날의 대한 생각.txt,60,2094,2338
00000000_[창세기묵상집]제129화 창세기 43장 13절 ~ 34절 요셉의 자기 인식.txt,60,1933,2199
00000000_[창세기묵상집]제12화 2장 8절 ~ 9절 환경의 중요함.txt,60,3211,3415
00000000_[창세기묵상집]제130화 창세기 44장 1절 ~ 17절 겸손함이란.txt,70,2601,2860
00000000_[창세기묵상집]제131화 창세기 44장 18절 ~ 34절 승자의식.txt,60,2621,2870
00000000_[창세기묵상집]제132화 창세기 45장 1절 ~ 15절 요셉의 콤플렉스 극복.txt,60,2194,2418
00000000_[창세기묵상집]제133화 창세기 45장 16절 ~ 20절 파라오의 통 큰 그릇.txt,60,2601,2811
00000000_[창세기묵상집]제134화 창세기 45장 21절 ~ 28절 병적인 죄책감.txt,60,2543,2759
00000000_[창세기묵상집]제135화 창세기 46장 1절 ~  7절 야곱의 성격.txt,60,2214,2476
00000000_[창세기묵상집]제136화 창세기 46장 28절 ~  34절 요셉이 가족을 맞이하다.txt,70,1493,1760
00000000_[창세기묵상집]제137화 창세기 47장 1절 ~  12절 진정한 어른이란.txt,70,2021,2320
00000000_[창세기묵상집]제138화 창세기 47장 13절 ~  26절 요셉의 이중적인 모습.txt,60,4175,4330
00000000_[창세기묵상집]제139화 창세기 47장 27절 ~  31절 야곱의 인생.txt,70,1685,1913
00000000_[창세기묵상집]제13화 2장 10절~14절 강과 사람.txt,60,1922,2150
00000000_[창세기묵상집]제140화 창세기 48장 1절 ~  22절 논다는 것의 의미.txt,60,2205,2416
00000000_[창세기묵상집]제141화 창세기 49장 1절 ~  28절 요셉의 이중적인 모습.txt,70,2353,2565
00000000_[창세기묵상집]제142화 창세기 49장 29절 ~  33절 죽음이란.txt,70,1790,2002
00000000_[창세기묵상집]제143화 창세기 50장 1절 ~  14절 야곱의 장례.txt,60,3570,3848
00000000_[창세기묵상집]제144화 창세기 50장 15절 ~  21절 대범한 요셉.txt,60,1892,2127
00000000_[창세기묵상집]제145화 창세기 50장 22절 ~  26절 인생의 마지막.txt,60,2167,2391
00000000_[창세기묵상집]제14화  2장 15절~17절 선악과의 존재이유.txt,70,1767,1980
00000000_[창세기묵상집]제15화 2장 18절 혼자라는 것.txt,70,1290,1473
00000000_[창세기묵상집]제16화 2장 19~20절 이름 붙이기.txt,70,1391,1573
00000000_[창세기묵상집]제17화 2장 21절 잠.txt,70,1100,1305
00000000_[창세기묵상집]제18화  2장 21절~25절 부부.txt,60,1375,1596
00000000_[창세기묵상집]제19화 3장 1절~7절 타락.txt,70,2605,2842
00000000_[창세기묵상집]제1화 1장 1절~5절 그림자.txt,70,1973,2199
00000000_[창세기묵상집]제20화 3장 8절~9절 너 어디에 있느냐.txt,70,1373,1681
00000000_[창세기묵상집]제21화 3장 10절~13절 알몸.txt,60,2135,2352
00000000_[창세기묵상집]제22화 창세기 3장 14절~15절 뱀.txt,70,1790,2003
00000000_[창세기묵상집]제23화 창세기 3장 16절~19절 추방의 의미.txt,70,2016,2198
00000000_[창세기묵상집]제24화 창세기 3장 20절~24절 험난한 인생길.txt,60,1892,2140
00000000_[창세기묵상집]제25화 창세기 4장 1절~7절 시기심.txt,60,1928,2116
00000000_[창세기묵상집]제26화 창세기 4장 8절~16절 내안의 카인.txt,60,2084,2306
00000000_[창세기묵상집]제27화 창세기 4장 17절~24절 카인의 후예.txt,70,1166,1368
00000000_[창세기묵상집]제28화 창세기 4장 25절~26절 셋의 후손.txt,70,1844,2047
00000000_[창세기묵상집]제29화 창세기 5장 1절~32절 홍수 이전 족장들.txt,60,2175,2408
00000000_[창세기묵상집]제2화 1장 6절~10절 균형.txt,70,771,957
00000000_[창세기묵상집]제30화 창세기 6장 1절~4절 하느님의 아들과 사람의 딸이 결혼하다.txt,70,1894,2022
00000000_[창세기묵상집]제31화 창세기 6장 5절~12절 노아1.txt,70,1845,2069
00000000_[창세기묵상집]제32화 창세기 6장 13절~22절 노아2.txt,70,1806,2047
00000000_[창세기묵상집]제33화 창세기 7장 1절~16절 노아3.txt,70,1737,1955
00000000_[창세기묵상집]제34화 창세기 7장 17절~24절 홍수.txt,70,1970,2224
00000000_[창세기묵상집]제35화 창세기 8장 1절~5절 기다림.txt,60,2438,2607
00000000_[창세기묵상집]제36화 창세기 8장 6절~13절 방주.txt,70,2183,2379
00000000_[창세기묵상집]제37화 창세기 8장 14절~22절 배에서 나오다.txt,60,3081,3291
00000000_[창세기묵상집]제38화 창세기 9장 1절~7절 계약.txt,60,3042,3283
00000000_[창세기묵상집]제39화 창세기 9장 8절~17절 무지개.txt,70,1645,1892
00000000_[창세기묵상집]제3화 1장 10절 보시니 좋더라.txt,70,847,1078
00000000_[창세기묵상집]제40화 창세기 9장 18절~29절 샘과 함과 야펫.txt,70,1758,2018
00000000_[창세기묵상집]제41화 창세기 10장 1절~32절 노아의 자손들.txt,70,1689,1874
00000000_[창세기묵상집]제42화 창세기 11장 2절~9절 바벨탑 이야기.txt,70,1787,1980
00000000_[창세기묵상집]제43화 창세기 11장 10절~26절 족보.txt,70,1972,2296
00000000_[창세기묵상집]제44화 창세기 11장 27절~32절 나는 누구인가.txt,60,2619,2866
00000000_[창세기묵상집]제45화 창세기 12장 1절~9절 아브라함1.txt,70,1777,1981
00000000_[창세기묵상집]제46화 창세기 12장 10절~20절 아브라함2.txt,60,2393,2543
00000000_[창세기묵상집]제47화 창세기 13장 1절~19절 롯1.txt,60,1837,2062
00000000_[창세기묵상집]제48화 창세기 14장 1절~16절 롯2.txt,70,1751,1918
00000000_[창세기묵상집]제49화 창세기 14장 17절~24절 멜키세덱.txt,60,2642,2861
00000000_[창세기묵상집]제4화 1장 11절~13절 자연.txt,70,1492,1724
00000000_[창세기묵상집]제50화 창세기 15장 1절~5절 축복.txt,60,2455,2772
00000000_[창세기묵상집]제51화 창세기 15장 6절~11절  시험.txt,60,2029,2184
00000000_[창세기묵상집]제52화 창세기 15장 12절~16절  응석욕구.txt,70,1535,1765
00000000_[창세기묵상집]제53화 창세기 15장 17절~21절 고엘.txt,70,1371,1589
00000000_[창세기묵상집]제54화 창세기 16장 1절~6절 마음공부.txt,60,2520,2765
00000000_[창세기묵상집]제55화 창세기 16장 7절~16절 하갈1.txt,60,2372,2642
00000000_[창세기묵상집]제56화 창세기 17장 1절~8절 계약.txt,60,1578,1784
00000000_[창세기묵상집]제57화 창세기 17장 10절~14절 할례1.txt,60,2401,2643
00000000_[창세기묵상집]제58화 창세기 17장 15절~22절 이름.txt,70,2182,2425
00000000_[창세기묵상집]제59화 창세기 17장 23절~27절 할례2.txt,70,1889,2142
00000000_[창세기묵상집]제5화 1장 14절~19절 빛.txt,70,1498,1703
00000000_[창세기묵상집]제60화 창세기 18장 1절~8절 기분.txt,60,2669,2932
00000000_[창세기묵상집]제61화 창세기 18장 9절~15절 사라의 거짓말.txt,70,1393,1604
00000000_[창세기묵상집]제62화 창세기 18장 16절~21절 소돔과 고모라.txt,70,1703,1945
00000000_[창세기묵상집]제63화 창세기 18장 22절~33절 대화.txt,60,2596,2756
00000000_[창세기묵상집]제64화 창세기 19장 1절~13절 소돔.txt,70,2204,2517
00000000_[창세기묵상집]제65화 창세기 19장 14절~18절 롯3.txt,70,1442,1675
00000000_[창세기묵상집]제66화 창세기 19장 19절~22절 롯4.txt,70,2312,2494
00000000_[창세기묵상집]제67화 창세기 19장 23절~29절 롯5.txt,70,1654,1869
00000000_[창세기묵상집]제68화 창세기 19장 30절~39절 롯6.txt,60,2120,2328
00000000_[창세기묵상집]제69화 창세기 20장 1절~22장 13절 아비멜렉 1.txt,60,1901,2152
00000000_[창세기묵상집]제6화 1장 20절~25절 함께 살기.txt,70,1704,1923
00000000_[창세기묵상집]제70화 창세기 21장 1절 ~ 7절 노령의 사라.txt,60,2480,2763
00000000_[창세기묵상집]제71화 창세기 21장 8절 ~ 13절 사라와 하갈.txt,60,2310,2491
00000000_[창세기묵상집]제72화 창세기 21장 14절 ~ 21절 하갈 2.txt,70,1341,1570
00000000_[창세기묵상집]제73화 창세기 21장 22절 ~ 34절 아비멜렉 2.txt,80,1437,1639
00000000_[창세기묵상집]제74화 창세기 22장 1절 ~ 9절 고통.txt,60,2255,2480
00000000_[창세기묵상집]제75화 창세기 22장 10절 ~ 18절 낙관적 도식.txt,70,1498,1716
00000000_[창세기묵상집]제76화 창세기 22장 19절 ~ 24절 젊게 살기.txt,70,1676,1914
00000000_[창세기묵상집]제77화 창세기 23장 1절 ~ 20절 어머니의 존재감.txt,70,2291,2451
00000000_[창세기묵상집]제78화 창세기 24장 1절 ~ 9절 영적체험.txt,70,1684,1886
00000000_[창세기묵상집]제79화 창세기 24장 10절 ~ 14절 아브라함의 종.txt,60,1824,2041
00000000_[창세기묵상집]제7화 1장 26절~27절 사람.txt,70,1871,2096
00000000_[창세기묵상집]제80화 창세기 24장 15절 ~ 27절 리브가 1.txt,60,2607,2846
00000000_[창세기묵상집]제81화 창세기 24장 28절 ~ 50절 아브라함의 노인 종.txt,70,1421,1681
00000000_[창세기묵상집]제82화 창세기 24장 50절 ~ 67절 리브가 2.txt,70,2026,2270
00000000_[창세기묵상집]제83화 창세기 25장 1절 ~ 6절 아브라함의 후손.txt,70,1875,2095
00000000_[창세기묵상집]제84화 창세기 25장 7절 ~ 11절 아브라함의 장수.txt,60,1843,2081
00000000_[창세기묵상집]제85화 창세기 25장 12절 ~ 18절 이스마엘의 족보.txt,60,2541,2751
00000000_[창세기묵상집]제86화 창세기 25장 19절 ~ 28절 에사우와 야곱이 태어나다.txt,60,2785,2877
00000000_[창세기묵상집]제87화 창세기 25장 29절 ~ 34절 에사우가 맏아들 권리를 팔다.txt,60,2773,3009
00000000_[창세기묵상집]제88화 창세기 26장 1절 ~ 33절 이사악과 아비멜렉.txt,70,1636,1867
00000000_[창세기묵상집]제89화 창세기 26장 34절 ~ 35절 문제어른 에사오.txt,70,1789,2003
00000000_[창세기묵상집]제8화 1장 28절~29절 다스림의 의미.txt,60,2475,2679
00000000_[창세기묵상집]제90화 창세기 27장 1절 ~ 40절 형제지간.txt,70,1900,2129
00000000_[창세기묵상집]제91화 창세기 27장 41절 ~ 28장 5절 방치된 야곱의 삶의 의미.txt,60,2066,2333
00000000_[창세기묵상집]제92화 창세기 28장 6절 ~ 9절 에사오의 고집.txt,60,3018,3146
00000000_[창세기묵상집]제93화 창세기 28장 10절 ~ 22절 임시대상.txt,60,1795,2042
00000000_[창세기묵상집]제94화 창세기 29장 1절 ~ 30절 파랑새 증후군.txt,70,1725,1919
00000000_[창세기묵상집]제95화 창세기 29장 31절 ~ 30장 24절 의존형과 창조형.txt,60,2911,3187
00000000_[창세기묵상집]제96화 창세기 30장 25절 ~ 43절 성숙한 야곱.txt,70,2229,2455
"00000000_[창세기묵상집]제97화 창세기 31장 1절 ~ 42절 야곱과 라반, 누가 사나이인가.txt",60,2742,2974
00000000_[창세기묵상집]제98화 창세기 31장 43절 ~ 54절 경계석.txt,70,2044,2301
00000000_[창세기묵상집]제99화 창세기 32장 1절 ~ 22절 불안한 야곱.txt,70,1727,1956
00000000_[창세기묵상집]제9화 1장 29절~31절 생명.txt,60,1799,2012
00000000_[톡쏘는 시사] 촉법소년에 대해서.txt,80,5192,5520
00000000_황창연 신부님께 영상편지.txt,80,382,585
00000000_가톨릭영성심리상담소 6주년 기념 강론.txt,90,9339,9807
00000000_갈등해결.txt,90,733,958
00000000_감정.txt,90,626,816
00000000_감정일기.txt,90,611,819
00000000_강철멘탈.txt,80,847,1091
00000000_걱정.txt,90,767,1013
00000000_겸손.txt,90,1045,1297
00000000_고정관념.txt,80,1554,1787
00000000_고해성사와 영성체 #shorts.txt,70,308,522
00000000_고해성사의 의미 #shorts.txt,80,318,536
00000000_관계의 중요성.txt,90,1004,1215
00000000_구수환감독 ㅡ신간ㅡ이태석신부이야기.txt,70,378,573
00000000_기도.txt,90,824,1030
00000000_꼰대.txt,80,1423,1684
00000000_꼰대유머.txt,90,637,817
00000000_나와 남.txt,90,736,978
00000000_내마음의집.txt,80,586,830
00000000_내세.txt,80,1143,1388
00000000_내재아에 대한 실험_새천년복음화연구소 특강 일부.txt,60,1381,1648
00000000_내진설계.txt,90,670,892
00000000_놀이.txt,90,850,1055
00000000_누가 행복한가.txt,100,675,896
00000000_다름의 미학.txt,90,331,536
00000000_등신컴플렉스.txt,90,1315,1468
00000000_똑똑함이란.txt,90,1382,1606
00000000_리더의 자질.txt,90,1053,1188
00000000_마귀.txt,80,1228,1445
00000000_마르꼬묵상.txt,90,1346,1529
00000000_마음안의 유령들.txt,90,642,856
00000000_마태 14장 1~12절 책임감의 의미.txt,70,2828,3043
00000000_말.txt,100,921,1181
00000000_말의 품위.txt,100,1511,1611
00000000_망상.txt,90,883,1055
00000000_멈춤의 시간.txt,90,721,940
00000000_멈춰버린시계.txt,90,685,918
00000000_명상.txt,90,1044,1259
00000000_모험.txt,90,1166,1393
00000000_문제.txt,100,768,990
00000000_문화의중요성.txt,100,755,977
00000000_미신.txt,90,882,1146
00000000_미얀마 이야기.txt,70,816,1006
00000000_미얀마.txt,70,751,944
00000000_미얀마를 돕기 위한 다양한 의견 두번째.txt,60,11338,11614
00000000_미얀마의 평화와 민주주의를 기원하는 촛불집회와 미사 안내.txt,70,907,1063
00000000_민감성의 필요.txt,90,629,863
00000000_민감함의 중요함.txt,90,649,877
00000000_믿음.txt,100,610,835
00000000_보호벽.txt,90,728,966
00000000_복음적인삶.txt,80,742,918
00000000_복지.txt,65,129,315
00000000_부정적대본.txt,90,1114,1278
00000000_부활이란.txt,100,887,1099
00000000_분노.txt,90,1341,1582
00000000_분심.txt,90,994,1217
00000000_불안.txt,90,862,1050
00000000_불안처리법.txt,90,601,794
00000000_불편한게 인생.txt,90,1033,1186
00000000_사람이 보약이다.txt,90,796,939
00000000_사랑.txt,90,925,1130
00000000_사이비2.txt,90,1050,1347
00000000_사이비3.txt,100,1013,1282
00000000_사이비공동체 6.txt,100,1208,1474
00000000_사이비공동체.txt,80,1004,1251
00000000_사이비종교 4.txt,90,955,1208
00000000_사이비종교 5.txt,100,671,905
00000000_산.txt,100,444,642
00000000_산책.txt,75,304,480
00000000_상담사목.txt,60,6495,6775
00000000_새로운것.txt,90,1099,1297
00000000_생각과감정.txt,90,601,821
00000000_성공.txt,90,575,793
00000000_성인신부ㅡ.txt,90,769,991
00000000_성인신심.txt,90,970,1149
00000000_소음.txt,90,1082,1305
00000000_속상함의 원인.txt,100,1065,1261
00000000_슬기로운 본당 생활이란 #shorts.txt,65,338,542
00000000_식별능력.txt,90,932,1118
00000000_신앙인의길.txt,90,1694,1763
00000000_싫은사람.txt,90,625,822
00000000_심리치료의 필요성.txt,70,1145,1320
00000000_알아차림.txt,80,765,1005
00000000_열등감.txt,90,648,851
00000000_열매 맺지못하는나무.txt,80,1101,1354
00000000_영성이란.txt,80,663,898
00000000_영웅.txt,90,822,1033
00000000_영적인 피조물.txt,90,579,808
00000000_욕망 ㅡ나쁜것인가.txt,80,642,879
00000000_욕망.txt,90,795,1032
00000000_용기.txt,90,535,771
00000000_용서와 화해.txt,90,1124,1399
00000000_윈제훈시인.txt,70,825,1012
00000000_인생살이.txt,90,1342,1525
00000000_인생이란.txt,100,771,968
00000000_일.txt,90,1007,1226
00000000_임은정검사.txt,70,568,766
00000000_자기삶의주인.txt,100,628,851
00000000_자의식.txt,100,865,1092
00000000_작은죄책감.txt,90,1700,1881
00000000_잦은사과 하는사람들.txt,100,611,813
00000000_제정신이란.txt,90,1208,1434
00000000_중요감.txt,100,515,727
00000000_즐겁게 시댁 가는 길 #shorts.txt,70,302,506
00000000_지나침은 ㅡ문제.txt,90,671,895
00000000_지능지수.txt,100,1254,1499
00000000_진정한 부활이란 #shorts.txt,80,122,322
00000000_짝퉁성인_2024년12월 30일.txt,100,319,549
00000000_착각인생.txt,90,737,988
00000000_착한것이 좋다.txt,90,851,1069
00000000_창조의 의미.txt,100,535,758
00000000_초대 신부님 강론-문호영 프란치스코 신부님(3월 토요성모신심미사).txt,80,3878,4122
00000000_초대 신부님 강론-문호영 프란치스코 신부님(제8주 주일미사).txt,70,2760,1489
00000000_캄보디아 사목.txt,60,4040,3731
00000000_캄보디아 사목하는 신부님들.txt,60,2730,2966
00000000_틈새휴식.txt,90,566,771
00000000_피해자증후군.txt,100,574,808
00000000_학대.txt,90,696,899
00000000_행복.txt,90,1172,1382
00000000_행복과 쾌락.txt,90,566,778
00000000_허세.txt,90,1909,2197
00000000_허풍.txt,90,716,962
00000000_혼잣말.txt,100,482,692
00000000_홍성남 신부님의 끝까지 나를 사랑하는 마음.txt,75,245,443
00000000_홍성남 신부님의 새천년복음화 연구소 특강 (오전강의).txt,80,27895,16847
00000000_홍성남 신부님의 새천년복음화 연구소 특강 (오후강의).txt,60,32248,33277
00000000_후회.txt,100,807,1027
00000000_흑산도 신부님.txt,70,390,567
00000000_힘빼.txt,90,642,877
